GenomeID,Fitness,NumberEvolvingFitter,NumberEvolvingEqual,NumberEvolvingLessFit
e5269736-776f62df-19d071da-7b1a6f1f-c85c9f5c,0.000411987,21140,4679,24181
1759304-315b8959-7240384-71387bae-363b4c2d,0.000576,7666,168,42166
b3a08d35-33a42d32-c220e207-21b357b4-3092b83b,0.000771605,6159,2075,41766
1db16f8a-39e4feba-fca5f7f-d3f8958d-30f6d047,0.00486,2542,225,47233
84f2c393-aa670ae2-cc77607c-6aa8c80-a0660ca2,0.000732422,3606,4583,41811
cc6c024b-60b017ee-836d1777-b202bf85-3eb1f01b,0.000578183,13364,474,36162
75ed26fe-74c1accd-30705d5a-3633f755-f143e336,0.00283116,4248,233,45519
c910da0d-115f1476-29feef8e-35a07ac0-f39bacc4,0.000330037,18340,797,30863
6798f862-bebd4beb-9fc9be95-1b87f924-f2be9552,0.000353894,15625,3207,31168
b37af898-260bae2d-8327f958-51a5959e-f0e4da05,0.00023815,20940,1689,27371
716b0287-413471d6-aed278b1-770c165d-23366c55,0.00023593,21796,2451,25753
848059d5-b5db9d7a-413a0c80-d3da4685-619aa4ee,0.00023593,20631,2156,27213
b24c9bf0-9ba34ff7-469aca6a-e9cf90fa-a1cf807b,0.000732422,6054,5955,37991
1ebc24fe-c61721cc-1fbc6ba3-f2b3ddc4-b2ddcfc6,0.000509779,11898,1334,36768
5b36e161-d41dd77a-361a0b04-2e06d61-967eaa5c,0.00064373,7439,1198,41363
f87606eb-8269eb1a-5ec91396-c37f68fa-af09ffaa,0.000541923,8675,13090,28235
6a69d774-4972297a-771741d8-3456110f-a23afffa,0.00648,1180,603,48217
bf4afdf2-6c46aeac-2cee2768-e93f16ec-55c86049,0.00023593,13291,2063,34646
8b1b4eb-adb50ad3-fddece02-9e22fe73-5269993b,0.000764987,4841,16,45143
6fc5eb64-72841bd3-9fdad64a-68e85022-3940eed0,0.00030899,18210,4522,27268
81fa16d9-197dfd48-4e15d0e6-20ca9e32-b9af3af0,0.000353894,13012,2207,34781
abaccf92-79180184-44afd368-58d553a6-932bc95d,0.000428669,14138,2337,33525
9d792c38-9a9be211-ad51f6ae-f53bd9b8-2b05e36,0.00432,1952,243,47805
74c6571b-94469bcd-6a1c75b6-3c748589-a68ae207,0.000514403,17978,1826,30196
f8f2ff89-dd9e4cb-4c00f94c-3b25f60-4ff4e38f,0.00226056,3021,25,46954
64ba4f3b-4a5775cc-1b19d3c-a9bbeab2-e43f52b7,0.000796262,3032,3445,43523
9f9600f0-21f64-5656e8d9-5f567451-971702e1,0.000428669,11353,2063,36584
e28fd1c5-654564e9-dc9795d6-7ba115e1-42115113,0.000530842,13381,5852,30767
c07b8574-c2ff531a-3d79df89-29ed173e-11a069ec,0.000754371,5461,1087,43452
eef4351b-d236e287-ef5f49bc-94c3d6d0-b923945f,0.000424816,11466,1276,37258
131f76e7-a3d199b9-ea7237bc-9be38d91-a731d87a,0.000602136,15719,489,33792
8d67458b-7d51105f-e12c84e9-6a0498a6-111ee55,0.00023815,29606,1935,18459
5017571f-98f00eaa-199ed574-9fd3f3fd-70d94cb7,0.000603497,12574,1009,36417
21a4a4cf-71de27b0-586bf4e4-d0cd2de5-5a338fcb,0.00048384,20247,219,29534
a9a3104-9eadc0fd-83c64c4-94221fd5-311c2b88,0.000385802,9566,547,39887
324069eb-1fa0382c-9d1b2d17-1653bd44-f9185c17,0.00269695,2005,621,47374
dc2b95d-fc69f5fa-8fe8b044-bd7db625-63b6a11a,0.000165888,18102,165,31733
576c3775-9f47b903-249509d7-bd45302f-d33c2018,0.000381039,9749,1912,38339
88c1e855-dc117113-62f9871c-d0904b0e-5d50f697,0.000812884,8237,1924,39839
31b366b6-7d38ffd-a1b67d43-4ac9313b-762afd6b,0.000734082,9236,1644,39120
8059de9a-b04fb45f-8b5adac2-fa1ad023-9d01431e,0.000609663,11509,1532,36959
3aa6edf7-75394285-84c85089-78a67de2-ecd654cf,0.000976562,640,4458,44902
6bbfc0f6-7cf46265-84d0cd29-b831157f-4991e0cf,0.000257202,25168,715,24117
91d36fa6-abcd2d46-42e2e2d9-274eba2c-9a375f00,0.000541923,13064,7682,29254
2ade1dc7-b62588d2-df8df74c-51ce9cae-900ffac2,0.000868056,2388,2739,44873
9c68a818-9506097f-54cb62da-a1b85757-a1057be5,0.000541923,16149,11164,22687
cdf935a8-e533b80f-45e66f2c-b878a6ec-90258f4f,0.000816118,6336,188,43476
bfad5747-c18d70ae-f1007dba-85d3827d-34890893,0.000353894,17819,3651,28530
45d73828-ec8e8b83-90ece598-72876d1b-ad9591ef,0.000411987,14848,4007,31145
2ed6e74e-afb03914-9e05693b-63ad529a-569a5a19,0.000364255,12148,231,37621
1ba19826-3c05e514-a87f944d-9f839e50-5d52a513,0.00076171,8340,100,41560
e54c068-4d687e6c-61a802fe-cbce853a-409f7ce9,0.000530842,9506,4673,35821
3c455914-fc2e44a0-4293d26d-b13bbdb1-a2b0b4b4,0.000367041,13783,1419,34798
ca3e571e-a044036f-1e374036-5716dcb5-2094b360,0.000796262,5710,3658,40632
89b64c20-8f6fcea1-a20ff663-8af61c59-f7644ad6,0.000411987,10992,4801,34207
5db6d665-dd3aef0b-ae025579-30aa4001-8dfd084e,0.000685871,4454,2671,42875
dee2fc77-6f0671ed-decca0d0-936fc05a-f9b49984,0.00030899,9873,2973,37154
e76e7090-a4b13302-1ff634ba-bab07295-38144be7,0.000549316,8902,6074,35024
6326b74e-b15f8867-c551d9c1-522fcafc-663d76c4,0.000976562,899,7496,41605
b42de719-8478a39d-d3e620b7-8d63a556-8646518f,0.000874412,4507,135,45358
d8faec03-c11b2b06-2fc123c4-e8472907-eda96dbb,0.000353894,16374,5469,28157
3e272843-341bfad6-a6c97187-1de17374-90af6a72,0.00030899,22150,4997,22853
