k,m,h(m)
6,89,0.0222367
6,90,0.0209414
6,91,0.0197095
6,92,0.0185387
6,93,0.0174263
6,94,0.0163702
6,95,0.0153679
6,96,0.0144173
7,1,0.963542
7,2,0.928229
7,3,0.894031
7,4,0.860918
7,5,0.828863
7,6,0.797836
7,7,0.76781
7,8,0.738758
7,9,0.710653
7,10,0.683469
7,11,0.657182
7,12,0.631766
7,13,0.607197
7,14,0.583452
7,15,0.560508
7,16,0.538341
7,17,0.516929
7,18,0.496252
7,19,0.476288
7,20,0.457016
7,21,0.438417
7,22,0.42047
7,23,0.403156
7,24,0.386458
7,25,0.370355
7,26,0.354831
7,27,0.339869
7,28,0.32545
7,29,0.311559
7,30,0.298179
7,31,0.285295
7,32,0.272891
7,33,0.260952
7,34,0.249463
7,35,0.238411
7,36,0.227781
7,37,0.21756
7,38,0.207735
7,39,0.198292
7,40,0.18922
7,41,0.180506
7,42,0.172138
7,43,0.164105
7,44,0.156396
7,45,0.148998
7,46,0.141903
7,47,0.1351
7,48,0.128578
7,49,0.122327
7,50,0.116339
7,51,0.110604
7,52,0.105113
7,53,0.0998576
7,54,0.0948288
7,55,0.0900187
7,56,0.0854192
7,57,0.0810226
7,58,0.0768214
7,59,0.0728084
7,60,0.0689763
7,61,0.0653185
7,62,0.0618282
7,63,0.058499
7,64,0.0553246
7,65,0.0522991
7,66,0.0494164
7,67,0.0466711
7,68,0.0440575
7,69,0.0415704
7,70,0.0392046
7,71,0.0369551
7,72,0.0348172
7,73,0.0327862
7,74,0.0308576
7,75,0.0290271
7,76,0.0272904
7,77,0.0256436
7,78,0.0240827
7,79,0.0226039
7,80,0.0212037
7,81,0.0198784
7,82,0.0186249
7,83,0.0174396
7,84,0.0163197
7,85,0.0152619
7,86,0.0142635
7,87,0.0133215
7,88,0.0124334
7,89,0.0115966
7,90,0.0108084
7,91,0.0100667
7,92,0.009369
7,93,0.00871317
7,94,0.00809709
7,95,0.00751872
7,96,0.00697614
8,1,0.958333
8,2,0.918194
8,3,0.879533
8,4,0.842304
8,5,0.806461
8,6,0.77196
8,7,0.738758
8,8,0.706811
8,9,0.67608
8,10,0.646525
8,11,0.618106
8,12,0.590787
8,13,0.56453
8,14,0.539299
8,15,0.515061
8,16,0.491781
8,17,0.469428
8,18,0.447968
8,19,0.427372
8,20,0.407609
8,21,0.388651
8,22,0.370468
8,23,0.353034
8,24,0.336323
8,25,0.320307
8,26,0.304963
8,27,0.290266
8,28,0.276193
8,29,0.26272
8,30,0.249826
8,31,0.237489
8,32,0.225688
8,33,0.214403
8,34,0.203616
8,35,0.193306
8,36,0.183456
8,37,0.174048
8,38,0.165065
8,39,0.15649
8,40,0.148308
8,41,0.140502
8,42,0.133058
8,43,0.125962
8,44,0.119199
8,45,0.112756
8,46,0.106619
8,47,0.100777
8,48,0.095217
8,49,0.0899271
8,50,0.0848962
8,51,0.0801134
8,52,0.0755679
8,53,0.0712498
8,54,0.067149
8,55,0.0632564
8,56,0.0595625
8,57,0.0560589
8,58,0.0527369
8,59,0.0495884
8,60,0.0466056
8,61,0.043781
8,62,0.0411074
8,63,0.0385777
8,64,0.0361853
8,65,0.0339237
8,66,0.0317868
8,67,0.0297686
8,68,0.0278634
8,69,0.0260658
8,70,0.0243704
8,71,0.0227724
8,72,0.0212667
8,73,0.019849
8,74,0.0185146
8,75,0.0172594
8,76,0.0160792
8,77,0.0149703
8,78,0.0139289
8,79,0.0129514
8,80,0.0120345
8,81,0.0111749
8,82,0.0103695
8,83,0.00961537
8,84,0.00890965
8,85,0.00824968
8,86,0.00763288
8,87,0.00705681
8,88,0.00651915
8,89,0.00601768
8,90,0.00555028
8,91,0.00511497
8,92,0.00470982
8,93,0.00433304
8,94,0.00398289
8,95,0.00365776
8,96,0.00335609
9,1,0.953125
9,2,0.908213
9,3,0.865193
9,4,0.823993
9,5,0.784547
9,6,0.746788
9,7,0.710653
9,8,0.67608
9,9,0.643011
9,10,0.611388
9,11,0.581154
9,12,0.552257
9,13,0.524644
9,14,0.498266
9,15,0.473072
9,16,0.449018
9,17,0.426057
9,18,0.404145
9,19,0.383241
9,20,0.363304
9,21,0.344294
9,22,0.326173
9,23,0.308905
9,24,0.292454
9,25,0.276787
9,26,0.261871
9,27,0.247673
9,28,0.234163
9,29,0.221313
9,30,0.209093
9,31,0.197477
9,32,0.186438
9,33,0.175951
9,34,0.165991
9,35,0.156536
9,36,0.147563
9,37,0.139049
9,38,0.130976
9,39,0.123321
9,40,0.116067
9,41,0.109195
9,42,0.102686
9,43,0.0965251
9,44,0.0906947
9,45,0.0851795
9,46,0.0799644
9,47,0.0750351
9,48,0.0703778
9,49,0.0659791
9,50,0.0618266
9,51,0.057908
9,52,0.0542118
9,53,0.0507267
9,54,0.0474423
9,55,0.0443482
9,56,0.0414348
9,57,0.0386928
9,58,0.0361133
9,59,0.0336878
9,60,0.0314081
9,61,0.0292667
9,62,0.027256
9,63,0.025369
9,64,0.0235991
9,65,0.0219398
9,66,0.020385
9,67,0.0189289
9,68,0.017566
9,69,0.0162911
9,70,0.0150991
9,71,0.0139852
9,72,0.012945
9,73,0.0119741
9,74,0.0110685
9,75,0.0102243
9,76,0.00943781
9,77,0.00870556
9,78,0.00802426
9,79,0.00739076
9,80,0.00680212
9,81,0.00625552
9,82,0.00574832
9,83,0.005278
9,84,0.0048422
9,85,0.00443868
9,86,0.00406534
9,87,0.00372017
9,88,0.0034013
9,89,0.00310695
9,90,0.00283547
9,91,0.00258528
9,92,0.00235491
9,93,0.00214297
9,94,0.00194815
9,95,0.00176924
9,96,0.00160509
10,1,0.947917
10,2,0.898288
10,3,0.851009
10,4,0.805982
10,5,0.763111
10,6,0.722303
10,7,0.683469
10,8,0.646525
10,9,0.611388
10,10,0.577979
10,11,0.546222
10,12,0.516044
10,13,0.487375
10,14,0.460147
10,15,0.434296
10,16,0.409759
10,17,0.386478
10,18,0.364393
10,19,0.343451
10,20,0.323598
10,21,0.304785
10,22,0.286961
10,23,0.270081
10,24,0.2541
10,25,0.238975
10,26,0.224665
10,27,0.211131
10,28,0.198335
10,29,0.186241
10,30,0.174816
10,31,0.164024
10,32,0.153837
10,33,0.144222
10,34,0.135151
10,35,0.126597
10,36,0.118534
10,37,0.110936
10,38,0.103778
10,39,0.0970396
10,40,0.0906971
10,41,0.0847302
10,42,0.0791189
10,43,0.0738443
10,44,0.0688883
10,45,0.0642337
10,46,0.0598641
10,47,0.0557638
10,48,0.051918
10,49,0.0483126
10,50,0.0449341
10,51,0.0417697
10,52,0.0388073
10,53,0.0360354
10,54,0.0334429
10,55,0.0310195
10,56,0.0287553
10,57,0.0266409
10,58,0.0246675
10,59,0.0228267
10,60,0.0211104
10,61,0.0195111
10,62,0.0180217
10,63,0.0166354
10,64,0.0153459
10,65,0.014147
10,66,0.013033
10,67,0.0119987
10,68,0.0110388
10,69,0.0101486
10,70,0.00932347
10,71,0.00855925
10,72,0.00785187
10,73,0.00719755
10,74,0.00659271
10,75,0.00603401
10,76,0.00551828
10,77,0.00504257
10,78,0.00460408
10,79,0.00420022
10,80,0.00382852
10,81,0.00348668
10,82,0.00317257
10,83,0.00288415
10,84,0.00261955
10,85,0.002377
10,86,0.00215485
10,87,0.00195156
10,88,0.0017657
10,89,0.00159592
10,90,0.00144098
10,91,0.00129971
10,92,0.00117102
10,93,0.00105392
10,94,0.000947463
10,95,0.000850783
10,96,0.000763073
11,1,0.942708
11,2,0.888416
11,3,0.836982
11,4,0.788268
11,5,0.742146
11,6,0.698491
11,7,0.657182
11,8,0.618106
11,9,0.581154
11,10,0.546222
11,11,0.513208
11,12,0.482019
11,13,0.452562
11,14,0.424751
11,15,0.398502
11,16,0.373737
11,17,0.350378
11,18,0.328354
11,19,0.307596
11,20,0.288038
11,21,0.269617
11,22,0.252273
11,23,0.23595
11,24,0.220592
11,25,0.206149
11,26,0.19257
11,27,0.179809
11,28,0.167822
11,29,0.156566
11,30,0.146
11,31,0.136086
11,32,0.126788
11,33,0.118072
11,34,0.109903
11,35,0.102252
11,36,0.0950876
11,37,0.0883827
11,38,0.0821104
11,39,0.0762454
11,40,0.0707637
11,41,0.0656426
11,42,0.0608607
11,43,0.0563976
11,44,0.052234
11,45,0.0483518
11,46,0.0447336
11,47,0.0413633
11,48,0.0382254
11,49,0.0353054
11,50,0.0325896
11,51,0.030065
11,52,0.0277195
11,53,0.0255416
11,54,0.0235203
11,55,0.0216455
11,56,0.0199075
11,57,0.0182974
11,58,0.0168065
11,59,0.0154268
11,60,0.0141509
11,61,0.0129717
11,62,0.0118825
11,63,0.010877
11,64,0.00994952
11,65,0.00909448
11,66,0.00830677
11,67,0.00758158
11,68,0.0069144
11,69,0.00630102
11,70,0.00573752
11,71,0.0052202
11,72,0.00474564
11,73,0.00431062
11,74,0.00391216
11,75,0.00354747
11,76,0.00321394
11,77,0.00290917
11,78,0.0026309
11,79,0.00237705
11,80,0.00214565
11,81,0.00193492
11,82,0.00174317
11,83,0.00156885
11,84,0.00141053
11,85,0.00126686
11,86,0.00113662
11,87,0.00101867
11,88,0.000911955
11,89,0.000815498
11,90,0.000728406
11,91,0.000649853
11,92,0.000579077
11,93,0.000515378
11,94,0.000458114
11,95,0.000406693
11,96,0.000360573
12,1,0.9375
12,2,0.878599
12,3,0.823109
12,4,0.770848
12,5,0.721645
12,6,0.675336
12,7,0.631766
12,8,0.590787
12,9,0.552257
12,10,0.516044
12,11,0.482019
12,12,0.450062
12,13,0.420058
12,14,0.391897
12,15,0.365477
12,16,0.340699
12,17,0.31747
12,18,0.2957
12,19,0.275307
12,20,0.256211
12,21,0.238336
12,22,0.22161
12,23,0.205967
12,24,0.191342
12,25,0.177675
12,26,0.164908
12,27,0.152987
12,28,0.141861
12,29,0.131481
12,30,0.121801
12,31,0.112779
12,32,0.104373
12,33,0.0965448
12,34,0.0892584
12,35,0.0824793
12,36,0.0761752
12,37,0.0703155
