k,m,h(m)
7,40,0.00586881
8,1,0.9
8,2,0.808861
8,3,0.725901
8,4,0.650482
8,5,0.582011
8,6,0.519929
8,7,0.463721
8,8,0.412902
8,9,0.367024
8,10,0.325669
8,11,0.28845
8,12,0.255006
8,13,0.225006
8,14,0.198139
8,15,0.174122
8,16,0.152692
8,17,0.133606
8,18,0.11664
8,19,0.101589
8,20,0.0882662
8,21,0.0764974
8,22,0.0661249
8,23,0.0570042
8,24,0.0490036
8,25,0.0420031
8,26,0.0358936
8,27,0.030576
8,28,0.0259607
8,29,0.0219668
8,30,0.018521
8,31,0.0155577
8,32,0.0130176
8,33,0.010848
8,34,0.00900155
8,35,0.00743606
8,36,0.0061141
8,37,0.00500244
8,38,0.00407176
8,39,0.00329618
8,40,0.00265303
9,1,0.8875
9,2,0.786392
9,3,0.695655
9,4,0.614345
9,5,0.541593
9,6,0.476602
9,7,0.418637
9,8,0.367024
9,9,0.321146
9,10,0.280437
9,11,0.244381
9,12,0.212505
9,13,0.18438
9,14,0.159612
9,15,0.137847
9,16,0.11876
9,17,0.10206
9,18,0.0874798
9,19,0.0747811
9,20,0.0637478
9,21,0.0541857
9,22,0.0459201
9,23,0.0387945
9,24,0.0326691
9,25,0.0274187
9,26,0.022932
9,27,0.01911
9,28,0.0158649
9,29,0.0131191
9,30,0.0108039
9,31,0.00885922
9,32,0.00723202
9,33,0.00587601
9,34,0.00475082
9,35,0.00382131
9,36,0.00305705
9,37,0.00243174
9,38,0.00192277
9,39,0.00151075
9,40,0.00117912
10,1,0.875
10,2,0.764241
10,3,0.666261
10,4,0.579734
10,5,0.503453
10,6,0.436326
10,7,0.377363
10,8,0.325669
10,9,0.280437
10,10,0.240939
10,11,0.206519
10,12,0.176589
10,13,0.15062
10,14,0.128139
10,15,0.108724
10,16,0.0919975
10,17,0.0776229
10,18,0.0653018
10,19,0.0547693
10,20,0.0457907
10,21,0.0381589
10,22,0.0316913
10,23,0.0262273
10,24,0.021626
10,25,0.0177642
10,26,0.0145344
10,27,0.0118428
10,28,0.00960832
10,29,0.00776057
10,30,0.00623889
10,31,0.00499111
10,32,0.00397252
10,33,0.00314491
10,34,0.00247578
10,35,0.00193757
10,36,0.001507
10,37,0.0011645
10,38,0.000893684
10,39,0.000680902
10,40,0.000514828
11,1,0.8625
11,2,0.742405
11,3,0.637707
11,4,0.546606
11,5,0.467492
11,6,0.398926
11,7,0.339627
11,8,0.28845
11,9,0.244381
11,10,0.206519
11,11,0.174066
11,12,0.146317
11,13,0.122648
11,14,0.102512
11,15,0.0854263
11,16,0.0709695
11,17,0.0587716
11,18,0.0485099
11,19,0.0399033
11,20,0.0327076
11,21,0.0267112
11,22,0.0217312
11,23,0.0176097
11,24,0.0142114
11,25,0.0114199
11,26,0.00913588
11,27,0.00727487
11,28,0.00576499
11,29,0.00454547
11,30,0.00356508
11,31,0.00278076
11,32,0.00215651
11,33,0.00166231
11,34,0.00127326
11,35,0.000968783
11,36,0.000731969
11,37,0.000548977
11,38,0.000408541
11,39,0.000301542
11,40,0.000220641
12,1,0.85
12,2,0.720886
12,3,0.609981
12,4,0.514919
12,5,0.433616
12,6,0.364237
12,7,0.305172
12,8,0.255006
12,9,0.212505
12,10,0.176589
12,11,0.146317
12,12,0.12087
12,13,0.0995402
12,14,0.0817121
12,15,0.0668554
12,16,0.0545128
12,17,0.0442917
12,18,0.0358552
12,19,0.0289155
12,20,0.0232272
12,21,0.0185817
12,22,0.0148024
12,23,0.0117398
12,24,0.00926829
12,25,0.00728223
12,26,0.00569338
12,27,0.00442818
12,28,0.00342558
12,29,0.00263506
12,30,0.00201504
12,31,0.00153143
12,32,0.00115639
12,33,0.000867291
12,34,0.000645855
12,35,0.000477371
12,36,0.000350072
12,37,0.000254598
12,38,0.000183547
12,39,0.000131105
12,40,9.2733e-05
13,1,0.8375
13,2,0.699684
13,3,0.58307
13,4,0.484629
13,5,0.401732
13,6,0.332099
13,7,0.273757
13,8,0.225006
13,9,0.18438
13,10,0.15062
13,11,0.122648
13,12,0.0995402
13,13,0.0805104
13,14,0.064889
13,15,0.0521078
13,16,0.0416863
13,17,0.0332188
13,18,0.0263641
13,19,0.0208361
13,20,0.0163956
13,21,0.0128433
13,22,0.0100134
13,23,0.00776901
13,24,0.00599713
13,25,0.00460494
13,26,0.0035165
13,27,0.00266993
13,28,0.00201504
13,29,0.00151128
13,30,0.00112605
13,31,0.00083328
13,32,0.000612206
13,33,0.0004464
13,34,0.000322928
13,35,0.000231666
13,36,0.00016474
13,37,0.000116067
13,38,8.09768e-05
13,39,5.59126e-05
13,40,3.81842e-05
14,1,0.825
14,2,0.678797
14,3,0.556962
14,4,0.455696
14,5,0.371752
14,6,0.302358
14,7,0.245155
14,8,0.198139
14,9,0.159612
14,10,0.128139
14,11,0.102512
14,12,0.0817121
14,13,0.064889
14,14,0.0513301
14,15,0.0404419
14,16,0.0317313
14,17,0.0247901
14,18,0.0192812
14,19,0.0149274
14,20,0.0115014
14,21,0.00881776
14,22,0.00672541
14,23,0.00510203
14,24,0.0038489
14,25,0.00288668
14,26,0.00215189
14,27,0.00159399
14,28,0.00117294
14,29,0.000857146
14,30,0.000621851
14,31,0.000447733
14,32,0.000319809
14,33,0.000226531
14,34,0.000159054
14,35,0.000110646
14,36,7.62229e-05
14,37,5.19702e-05
14,38,3.50497e-05
14,39,2.33664e-05
14,40,1.53877e-05
15,1,0.8125
15,2,0.658228
15,3,0.531646
15,4,0.428078
15,5,0.343589
15,6,0.274871
15,7,0.219154
15,8,0.174122
15,9,0.137847
15,10,0.108724
15,11,0.0854263
15,12,0.0668554
15,13,0.0521078
15,14,0.0404419
15,15,0.0312506
15,16,0.0240389
15,17,0.0184048
15,18,0.0140227
15,19,0.0106301
15,20,0.00801614
15,21,0.00601211
15,22,0.00448361
15,23,0.00332405
15,24,0.0024493
15,25,0.00179324
15,26,0.00130417
15,27,0.000941903
15,28,0.000675327
15,29,0.000480521
15,30,0.000339191
15,31,0.000237434
15,32,0.00016475
15,33,0.000113266
15,34,7.71171e-05
15,35,5.19702e-05
15,36,3.46468e-05
15,37,2.28354e-05
15,38,1.48696e-05
15,39,9.559e-06
15,40,6.0618e-06
16,1,0.8
16,2,0.637975
16,3,0.507108
16,4,0.401735
16,5,0.317159
16,6,0.249499
16,7,0.195553
16,8,0.152692
16,9,0.11876
16,10,0.0919975
16,11,0.0709695
16,12,0.0545128
16,13,0.0416863
16,14,0.0317313
16,15,0.0240389
16,16,0.0181216
16,17,0.0135912
16,18,0.0101395
16,19,0.00752284
16,20,0.00554964
16,21,0.00406973
16,22,0.00296608
16,23,0.00214785
16,24,0.00154494
16,25,0.00110353
16,26,0.000782504
16,27,0.000550651
16,28,0.000384417
16,29,0.000266135
16,30,0.000182641
16,31,0.000124196
16,32,8.36423e-05
16,33,5.57616e-05
16,34,3.67789e-05
16,35,2.39862e-05
16,36,1.54578e-05
16,37,9.83678e-06
16,38,6.17658e-06
16,39,3.8236e-06
16,40,2.33146e-06
17,1,0.7875
17,2,0.618038
17,3,0.483337
17,4,0.376627
17,5,0.292381
17,6,0.226108
17,7,0.174164
17,8,0.133606
17,9,0.10206
17,10,0.0776229
17,11,0.0587716
17,12,0.0442917
17,13,0.0332188
17,14,0.0247901
17,15,0.0184048
17,16,0.0135912
17,17,0.00998105
17,18,0.00728775
17,19,0.0052895
17,20,0.00381538
17,21,0.00273435
17,22,0.00194649
17,23,0.00137597
17,24,0.00096559
17,25,0.000672465
17,26,0.000464612
17,27,0.000318345
17,28,0.000216234
17,29,0.000145542
17,30,9.70283e-05
17,31,6.40387e-05
17,32,4.18212e-05
17,33,2.70095e-05
17,34,1.72401e-05
17,35,1.08688e-05
17,36,6.76279e-06
17,37,4.14989e-06
17,38,2.50924e-06
17,39,1.49359e-06
17,40,8.74299e-07
18,1,0.775
18,2,0.598418
18,3,0.460321
18,4,0.352714
18,5,0.269176
18,6,0.204574
18,7,0.154813
18,8,0.11664
18,9,0.0874798
18,10,0.0653018
18,11,0.0485099
18,12,0.0358552
18,13,0.0263641
18,14,0.0192812
18,15,0.0140227
18,16,0.0101395
18,17,0.00728775
18,18,0.00520554
18,19,0.00369425
18,20,0.00260415
18,21,0.0018229
18,22,0.00126676
18,23,0.000873629
18,24,0.000597746
18,25,0.000405614
18,26,0.000272867
18,27,0.000181912
18,28,0.00012013
18,29,7.85467e-05
18,30,5.08243e-05
18,31,3.25276e-05
18,32,2.05787e-05
18,33,1.28617e-05
18,34,7.93592e-06
18,35,4.83056e-06
18,36,2.89834e-06
18,37,1.71265e-06
18,38,9.95729e-07
18,39,5.68988e-07
18,40,3.19188e-07
19,1,0.7625
19,2,0.579114
19,3,0.438048
19,4,0.329958
19,5,0.247469
19,6,0.184776
19,7,0.137334
19,8,0.101589
19,9,0.0747811
19,10,0.0547693
19,11,0.0399033
19,12,0.0289155
19,13,0.0208361
19,14,0.0149274
19,15,0.0106301
19,16,0.00752284
19,17,0.0052895
19,18,0.00369425
19,19,0.00256214
19,20,0.0017641
19,21,0.00120547
19,22,0.000817266
19,23,0.000549541
19,24,0.000366361
19,25,0.00024206
19,26,0.000158439
19,27,0.000102692
19,28,6.58779e-05
19,29,4.18071e-05
19,30,2.62319e-05
19,31,1.62638e-05
19,32,9.95742e-06
19,33,6.01594e-06
19,34,3.58397e-06
19,35,2.10363e-06
19,36,1.21543e-06
19,37,6.90586e-07
19,38,3.85444e-07
19,39,2.11076e-07
19,40,1.1326e-07
20,1,0.75
20,2,0.560127
20,3,0.416504
20,4,0.308321
20,5,0.227184
20,6,0.166602
20,7,0.121574
20,8,0.0882662
20,9,0.0637478
20,10,0.0457907
20,11,0.0327076
20,12,0.0232272
20,13,0.0163956
20,14,0.0115014
20,15,0.00801614
20,16,0.00554964
20,17,0.00381538
20,18,0.00260415
20,19,0.0017641
20,20,0.00118571
20,21,0.00079047
20,22,0.000522514
20,23,0.000342337
20,24,0.000222219
20,25,0.000142855
20,26,9.09077e-05
20,27,5.72382e-05
20,28,3.56389e-05
20,29,2.19316e-05
20,30,1.3331e-05
20,31,7.99859e-06
20,32,4.73386e-06
20,33,2.76142e-06
20,34,1.58635e-06
20,35,8.9663e-07
20,36,4.98128e-07
20,37,2.71706e-07
20,38,1.45331e-07
20,39,7.61258e-08
20,40,3.89913e-08
21,1,0.7375
21,2,0.541456
21,3,0.395679
21,4,0.287767
21,5,0.208252
21,6,0.149942
21,7,0.107391
21,8,0.0764974
21,9,0.0541857
21,10,0.0381589
21,11,0.0267112
21,12,0.0185817
21,13,0.0128433
21,14,0.00881776
21,15,0.00601211
21,16,0.00406973
21,17,0.00273435
21,18,0.0018229
21,19,0.00120547
21,20,0.00079047
21,21,0.000513806
21,22,0.000330926
21,23,0.000211108
21,24,0.000133331
21,25,8.3332e-05
21,26,5.15143e-05
21,27,3.1481e-05
21,28,1.90074e-05
21,29,1.13313e-05
21,30,6.66549e-06
21,31,3.86598e-06
21,32,2.20913e-06
21,33,1.24264e-06
21,34,6.87416e-07
21,35,3.73596e-07
21,36,1.99251e-07
21,37,1.04154e-07
21,38,5.32881e-08
21,39,2.6644e-08
21,40,1.29971e-08
22,1,0.725
22,2,0.523101
22,3,0.37556
22,4,0.268257
22,5,0.190604
22,6,0.134693
22,7,0.0946493
22,8,0.0661249
22,9,0.0459201
22,10,0.0316913
22,11,0.0217312
22,12,0.0148024
22,13,0.0100134
22,14,0.00672541
22,15,0.00448361
22,16,0.00296608
22,17,0.00194649
22,18,0.00126676
22,19,0.000817266
22,20,0.000522514
22,21,0.000330926
22,22,0.00020753
22,23,0.000128812
22,24,7.90948e-05
22,25,4.80219e-05
22,26,2.88131e-05
22,27,1.70744e-05
22,28,9.98693e-06
22,29,5.76169e-06
22,30,3.27626e-06
22,31,1.8347e-06
22,32,1.01096e-06
22,33,5.47603e-07
22,34,2.91278e-07
22,35,1.51971e-07
22,36,7.76742e-08
22,37,3.88371e-08
22,38,1.89669e-08
22,39,9.03188e-09
22,40,4.18551e-09
23,1,0.7125
23,2,0.505063
23,3,0.356134
23,4,0.249757
23,5,0.174172
23,6,0.120759
23,7,0.0832261
23,8,0.0570042
23,9,0.0387945
23,10,0.0262273
23,11,0.0176097
23,12,0.0117398
23,13,0.00776901
23,14,0.00510203
23,15,0.00332405
23,16,0.00214785
23,17,0.00137597
23,18,0.000873629
23,19,0.000549541
23,20,0.000342337
23,21,0.000211108
23,22,0.000128812
23,23,7.77311e-05
23,24,4.63659e-05
23,25,2.73228e-05
23,26,1.58969e-05
23,27,9.12599e-06
23,28,5.16566e-06
23,29,2.88085e-06
23,30,1.58164e-06
23,31,8.54086e-07
23,32,4.53189e-07
23,33,2.36036e-07
23,34,1.20529e-07
23,35,6.02644e-08
23,36,2.94626e-08
23,37,1.40617e-08
23,38,6.54033e-09
23,39,2.95872e-09
23,40,1.29895e-09
24,1,0.7
24,2,0.487342
24,3,0.33739
24,4,0.23223
24,5,0.158894
24,6,0.108048
24,7,0.0730054
24,8,0.0490036
24,9,0.0326691
24,10,0.021626
24,11,0.0142114
24,12,0.00926829
24,13,0.00599713
24,14,0.0038489
24,15,0.0024493
24,16,0.00154494
24,17,0.00096559
24,18,0.000597746
24,19,0.000366361
24,20,0.000222219
24,21,0.000133331
24,22,7.90948e-05
24,23,4.63659e-05
24,24,2.68434e-05
24,25,1.53391e-05
24,26,8.64568e-06
24,27,4.80315e-06
24,28,2.62814e-06
24,29,1.41515e-06
24,30,7.49198e-07
24,31,3.89583e-07
24,32,1.98767e-07
24,33,9.93835e-08
24,34,4.86345e-08
24,35,2.326e-08
24,36,1.08546e-08
24,37,4.93393e-09
24,38,2.18011e-09
24,39,9.34332e-10
24,40,3.87406e-10
25,1,0.6875
25,2,0.469937
25,3,0.319316
25,4,0.215642
25,5,0.144707
25,6,0.0964714
25,7,0.0638797
25,8,0.0420031
25,9,0.0274187
25,10,0.0177642
25,11,0.0114199
25,12,0.00728223
25,13,0.00460494
25,14,0.00288668
25,15,0.00179324
25,16,0.00110353
25,17,0.000672465
25,18,0.000405614
25,19,0.00024206
25,20,0.000142855
25,21,8.3332e-05
25,22,4.80219e-05
25,23,2.73228e-05
25,24,1.53391e-05
25,25,8.49129e-06
25,26,4.63161e-06
25,27,2.48735e-06
25,28,1.31407e-06
25,29,6.82306e-07
25,30,3.47842e-07
25,31,1.73921e-07
25,32,8.51858e-08
25,33,4.08182e-08
25,34,1.91064e-08
25,35,8.72249e-09
25,36,3.87666e-09
25,37,1.67401e-09
25,38,7.00749e-10
25,39,2.83637e-10
25,40,1.10687e-10
26,1,0.675
26,2,0.452848
26,3,0.301899
26,4,0.199959
26,5,0.131552
26,6,0.0859472
26,7,0.0557496
26,8,0.0358936
26,9,0.022932
26,10,0.0145344
26,11,0.00913588
26,12,0.00569338
26,13,0.0035165
26,14,0.00215189
26,15,0.00130417
26,16,0.000782504
26,17,0.000464612
26,18,0.000272867
26,19,0.000158439
26,20,9.09077e-05
26,21,5.15143e-05
26,22,2.88131e-05
26,23,1.58969e-05
26,24,8.64568e-06
26,25,4.63161e-06
26,26,2.44212e-06
26,27,1.26629e-06
26,28,6.45089e-07
26,29,3.22545e-07
26,30,1.5811e-07
26,31,7.58928e-08
26,32,3.56232e-08
26,33,1.63273e-08
26,34,7.29517e-09
26,35,3.17181e-09
26,36,1.33921e-09
26,37,5.47859e-10
26,38,2.16595e-10
26,39,8.25125e-11
26,40,3.01875e-11
27,1,0.6625
27,2,0.436076
27,3,0.285127
27,4,0.185147
27,5,0.119371
27,6,0.0763976
27,7,0.0485228
27,8,0.030576
27,9,0.01911
27,10,0.0118428
27,11,0.00727487
27,12,0.00442818
27,13,0.00266993
27,14,0.00159399
27,15,0.000941903
27,16,0.000550651
27,17,0.000318345
27,18,0.000181912
27,19,0.000102692
27,20,5.72382e-05
27,21,3.1481e-05
27,22,1.70744e-05
27,23,9.12599e-06
27,24,4.80315e-06
27,25,2.48735e-06
27,26,1.26629e-06
27,27,6.33143e-07
27,28,3.10598e-07
27,29,1.49326e-07
27,30,7.02711e-08
27,31,3.23247e-08
27,32,1.45131e-08
27,33,6.3495e-09
27,34,2.70191e-09
27,35,1.11601e-09
27,36,4.46403e-10
27,37,1.72474e-10
27,38,6.41764e-11
27,39,2.29201e-11
27,40,7.82639e-12
28,1,0.65
28,2,0.41962
28,3,0.268987
28,4,0.171174
28,5,0.10811
28,6,0.0677488
28,7,0.0421141
28,8,0.0259607
28,9,0.0158649
28,10,0.00960832
28,11,0.00576499
28,12,0.00342558
28,13,0.00201504
28,14,0.00117294
28,15,0.000675327
28,16,0.000384417
28,17,0.000216234
28,18,0.00012013
28,19,6.58779e-05
28,20,3.56389e-05
28,21,1.90074e-05
28,22,9.98693e-06
28,23,5.16566e-06
28,24,2.62814e-06
28,25,1.31407e-06
28,26,6.45089e-07
28,27,3.10598e-07
28,28,1.46509e-07
28,29,6.76194e-08
28,30,3.0495e-08
28,31,1.34178e-08
28,32,5.75049e-09
28,33,2.39604e-09
28,34,9.68611e-10
28,35,3.79022e-10
28,36,1.43186e-10
28,37,5.20676e-11
28,38,1.81631e-11
28,39,6.05437e-12
28,40,1.91968e-12
29,1,0.6375
29,2,0.403481
29,3,0.253469
29,4,0.158007
29,5,0.0977146
29,6,0.0599316
29,7,0.0364449
29,8,0.0219668
29,9,0.0131191
29,10,0.00776057
29,11,0.00454547
29,12,0.00263506
29,13,0.00151128
29,14,0.000857146
29,15,0.000480521
29,16,0.000266135
29,17,0.000145542
29,18,7.85467e-05
29,19,4.18071e-05
29,20,2.19316e-05
29,21,1.13313e-05
29,22,5.76169e-06
29,23,2.88085e-06
29,24,1.41515e-06
29,25,6.82306e-07
29,26,3.22545e-07
29,27,1.49326e-07
29,28,6.76194e-08
29,29,2.99086e-08
29,30,1.29017e-08
29,31,5.41873e-09
29,32,2.21173e-09
29,33,8.75475e-10
29,34,3.35288e-10
29,35,1.23911e-10
29,36,4.40572e-11
29,37,1.50195e-11
29,38,4.89007e-12
29,39,1.51359e-12
29,40,4.43003e-13
30,1,0.625
30,2,0.387658
30,3,0.238559
30,4,0.145614
30,5,0.0881347
30,6,0.0528808
30,7,0.0314427
30,8,0.018521
30,9,0.0108039
30,10,0.00623889
30,11,0.00356508
30,12,0.00201504
30,13,0.00112605
30,14,0.000621851
30,15,0.000339191
30,16,0.000182641
30,17,9.70283e-05
30,18,5.08243e-05
30,19,2.62319e-05
30,20,1.3331e-05
30,21,6.66549e-06
30,22,3.27626e-06
30,23,1.58164e-06
30,24,7.49198e-07
30,25,3.47842e-07
30,26,1.5811e-07
30,27,7.02711e-08
30,28,3.0495e-08
30,29,1.29017e-08
30,30,5.31248e-09
30,31,2.12499e-09
30,32,8.23977e-10
30,33,3.08991e-10
30,34,1.11763e-10
30,35,3.8874e-11
30,36,1.2958e-11
30,37,4.123e-12
30,38,1.24649e-12
30,39,3.5614e-13
30,40,9.55497e-14
31,1,0.6125
31,2,0.372152
31,3,0.224245
31,4,0.133965
31,5,0.0793212
31,6,0.0465351
31,7,0.0270407
31,8,0.0155577
31,9,0.00885922
31,10,0.00499111
31,11,0.00278076
31,12,0.00153143
31,13,0.00083328
31,14,0.000447733
31,15,0.000237434
31,16,0.000124196
31,17,6.40387e-05
31,18,3.25276e-05
31,19,1.62638e-05
31,20,7.99859e-06
31,21,3.86598e-06
31,22,1.8347e-06
31,23,8.54086e-07
31,24,3.89583e-07
31,25,1.73921e-07
31,26,7.58928e-08
31,27,3.23247e-08
31,28,1.34178e-08
31,29,5.41873e-09
31,30,2.12499e-09
31,31,8.07497e-10
31,32,2.96632e-10
31,33,1.05057e-10
31,34,3.57641e-11
31,35,1.16622e-11
31,36,3.62824e-12
31,37,1.07198e-12
31,38,2.99157e-13
31,39,7.83507e-14
31,40,1.91099e-14
32,1,0.6
32,2,0.356962
32,3,0.210516
32,4,0.123029
32,5,0.0712272
32,6,0.040837
32,7,0.0231777
32,8,0.0130176
32,9,0.00723202
32,10,0.00397252
32,11,0.00215651
32,12,0.00115639
32,13,0.000612206
32,14,0.000319809
32,15,0.00016475
32,16,8.36423e-05
32,17,4.18212e-05
32,18,2.05787e-05
32,19,9.95742e-06
32,20,4.73386e-06
32,21,2.20913e-06
32,22,1.01096e-06
32,23,4.53189e-07
32,24,1.98767e-07
32,25,8.51858e-08
32,26,3.56232e-08
32,27,1.45131e-08
32,28,5.75049e-09
32,29,2.21173e-09
32,30,8.23977e-10
32,31,2.96632e-10
32,32,1.02913e-10
32,33,3.43043e-11
32,34,1.09482e-11
32,35,3.33206e-12
32,36,9.62595e-13
32,37,2.62526e-13
32,38,6.71578e-14
32,39,1.59899e-14
32,40,3.50999e-15
33,1,0.5875
33,2,0.342089
33,3,0.197359
33,4,0.112776
33,5,0.0638077
33,6,0.0357323
33,7,0.0197976
33,8,0.010848
33,9,0.00587601
33,10,0.00314491
33,11,0.00166231
33,12,0.000867291
33,13,0.0004464
33,14,0.000226531
33,15,0.000113266
33,16,5.57616e-05
33,17,2.70095e-05
33,18,1.28617e-05
33,19,6.01594e-06
33,20,2.76142e-06
33,21,1.24264e-06
33,22,5.47603e-07
33,23,2.36036e-07
33,24,9.93835e-08
33,25,4.08182e-08
33,26,1.63273e-08
33,27,6.3495e-09
33,28,2.39604e-09
33,29,8.75475e-10
33,30,3.08991e-10
33,31,1.05057e-10
33,32,3.43043e-11
33,33,1.07201e-11
33,34,3.19322e-12
33,35,9.02432e-13
33,36,2.40649e-13
33,37,6.01622e-14
33,38,1.39912e-14
33,39,2.99811e-15
33,40,5.84998e-16
34,1,0.575
34,2,0.327532
34,3,0.184761
34,4,0.103178
34,5,0.0570197
34,6,0.0311708
34,7,0.0168491
34,8,0.00900155
34,9,0.00475082
34,10,0.00247578
34,11,0.00127326
34,12,0.000645855
34,13,0.000322928
34,14,0.000159054
34,15,7.71171e-05
34,16,3.67789e-05
34,17,1.72401e-05
34,18,7.93592e-06
34,19,3.58397e-06
34,20,1.58635e-06
34,21,6.87416e-07
34,22,2.91278e-07
34,23,1.20529e-07
34,24,4.86345e-08
34,25,1.91064e-08
34,26,7.29517e-09
34,27,2.70191e-09
34,28,9.68611e-10
34,29,3.35288e-10
34,30,1.11763e-10
34,31,3.57641e-11
34,32,1.09482e-11
34,33,3.19322e-12
34,34,8.83232e-13
34,35,2.30408e-13
34,36,5.6322e-14
34,37,1.28005e-14
34,38,2.67917e-15
34,39,5.10317e-16
34,40,8.71274e-17
35,1,0.5625
35,2,0.313291
35,3,0.172712
35,4,0.0942064
35,5,0.0508219
35,6,0.027105
35,7,0.0142851
35,8,0.00743606
35,9,0.00382131
35,10,0.00193757
35,11,0.000968783
35,12,0.000477371
35,13,0.000231666
35,14,0.000110646
