GenomeID,Fitness,NumberEvolvingFitter,NumberEvolvingEqual
1350-3851-e1ff-4e79-72d1,0.000530842,9181,502
38dc-2f6a-3f0d-52af-668,0.000541923,8014,1410
4ec1-aab1-f4a9-57bd-2ff2,0.000362098,13798,38
cd86-9545-f186-3e68-d890,0.000825842,2326,1
e63-bbfc-74a5-30c-13b9,0.000305868,15990,105
caeb-6072-e869-1d65-fa0e,0.000541923,7711,1292
2efe-4790-b17b-36f9-b4cb,0.000411987,12367,979
b110-2e-9df1-997a-1d93,0.000240326,17138,6
b97-95ca-ba29-a812-cb0d,0.000152416,18658,3
f7a8-5922-cb3b-959a-f29c,0.000367041,13304,51
e8ce-2d9a-96cd-e913-907e,0.00023593,17743,65
6947-aa80-1b40-378f-c25a,0.000353894,14036,786
bf64-400f-933-ab19-fa0a,0.00274658,924,2
499a-71c3-c9f7-e068-5ad6,0.000648296,5390,6
bb57-57e8-2bce-eacb-a21a,0.000428669,11317,437
f5bf-3916-559c-4cbd-c20b,0.00115741,1278,23
2690-55ea-e8db-1e74-d147,0.000353894,13820,77
37b4-1434-a5d-8d50-60f1,0.00030899,15548,623
6e09-8eda-51a1-2e78-22d4,0.000486202,10508,2
ddbe-7026-7e7f-9ef6-7321,0.000267918,15916,89
e9ad-b92-7ba-e0f7-bc8,0.000301408,16727,29
bd77-7255-ed9f-3bf6-114b,0.000428669,11421,402
60c0-e703-51ac-9233-1686,0.000301408,16860,34
b3c4-538b-4254-bb7e-3482,0.000367041,13302,206
4e1c-fe73-8383-e8bf-930a,0.000541923,8088,1439
16aa-4f5b-c931-6856-e18e,0.000541923,8381,1360
c363-6342-f696-11b6-af93,0.000404728,12970,25
8100-903c-dd07-303-3a14,0.000281632,16419,83
b0cc-7e95-17-c85a-2177,0.000411987,12546,907
320c-72f3-c556-a38-22ea,0.000211689,17529,48
5c8-218b-8a1b-5df-e9e5,0.00023815,17387,180
7fc3-c8b8-6b4-694f-25c,0.00023593,17111,294
b425-8628-3969-30c-f6e7,0.000541923,7420,1309
baad-302f-f764-f416-333b,0.000411987,12554,1002
c471-4893-60ce-bbd5-3ca9,0.000549316,7085,697
6ff4-f8f1-6a37-f7d1-5283,0.000796262,2644,126
c3be-3f5-cdd4-8a1c-6d6a,0.000771605,3287,218
